    Day,Function Value,,    Day,Function Value
1,100,,51,103
2,103,,52,108
3,108,,53,115
4,115,,54,130
5,130,,55,145
6,145,,56,157
7,157,,57,165
8,165,,58,181
9,181,,59,198
10,198,,60,225
11,225,,61,232
12,232,,62,236
13,236,,63,230
14,230,,64,220
15,220,,65,207
16,207,,66,190
17,190,,67,180
18,180,,68,170
19,170,,69,160
20,160,,70,150
21,150,,71,140
22,140,,72,141
23,141,,73,150
24,150,,74,160
25,160,,75,180
26,180,,76,220
27,220,,77,240
28,240,,78,260
29,260,,79,265
30,265,,80,270
31,270,,81,272
32,272,,82,273
33,273,,83,269
34,269,,84,267
35,267,,85,265
36,265,,86,254
37,254,,87,240
38,240,,88,225
39,225,,89,210
40,210,,90,201
41,201,,91,195
42,195,,92,185
43,185,,93,175
44,175,,94,165
45,165,,95,150
46,150,,96,133
47,133,,97,121
48,121,,98,110
49,110,,99,100
50,100,,100,103
